# id	cmn	eng — from Tatoeba (CC-BY 2.0 FR)
332603	看见新鲜龙虾，我有了食欲。	The sight of fresh lobster gave me an appetite.
332605	这狗跑得多快啊！	This dog runs very fast!
332606	你上班迟到了。	You were late for work.
332607	护士会告诉你怎么做。	The nurse will tell you how to do it.
332609	下周我去温哥华看我妹妹。	I'm going off to Vancouver next week to see my sister.
332611	你多久后需要它？	How soon do you need it?
332612	诚信是一种重要的美德。	Honesty is a capital virtue.
332613	鲍勃第一个到达终点线。	Bob reached the finish line first.
332614	这是我见过最美的景色了。	This is the most beautiful sight that I have ever seen.
332615	科学和数学我都喜欢。	I like both science and math.
332617	她不喜欢我说话的方式。	She doesn't like the way I speak.
332618	他请求她给予优待。	He asked her to give him preferential treatment.
332619	能不能请你把盐递给我？	Could you pass me the salt, please?
332629	你不这么认为吗？	Don't you think so?
332631	我想减肥。	I want to lose weight.
332632	我听到这个消息很吃惊。	I was surprised at the news.
332633	她一直和她的兄弟争吵。	She was always quarreling with her brothers.
332636	你想再来杯酒吗？	Would you like another glass of wine?
332637	他努力工作。	He works hard.
332638	自由是有代价的。	Freedom has a cost.
332639	几分钟后，电话响了。	A few minutes later the telephone rang.
332640	月球是地球唯一的卫星。	The moon is the earth's only satellite.
332642	孩子们洗了他们的脚。	The children washed their feet.
332645	他是哈佛大学的生物学教授。	He's a professor of biology at Harvard.
332649	他长大了会成为一名医生。	He is going to be a doctor when he grows up.
332652	你为什么说要去公园散步？	Why are you saying you want to walk in the park?
332653	观众人数庞大。	The audience was very large.
332654	写下你名字的大写字母。	Write your name in capital letters.
332655	我不太明白他说什么。	I don't quite understand what he says.
332656	我对外籍员工没有偏见。	I don't have a prejudice against foreign workers.
332657	我明早八点来接你。	I'll call for you at eight tomorrow morning.
332658	我相信他会信守诺言。	I believed that he would keep his promise.
332660	我们看见池里有很多活鱼。	We saw a lot of live fish in the pond.
332662	您学习吗？	Are you studying?
332663	他有很多历史书籍。	He has a lot of books on history.
332666	所有迹象表明她好起来了。	All the signs are that she is getting better.
332668	建筑物在地震中摇晃。	The buildings shook in the earthquake.
332673	谁来为风险投资提供资金？	Who will provide capital for the venture?
332676	他的政权必定会崩溃。	His regime is bound to collapse.
332677	小偷迅速地窜入了人群。	The thief whipped out into the crowd.
332678	我上周不忙。	I wasn't busy last week.
332679	游泳使腿部强健。	Swimming makes your legs stronger.
332681	我不能让自己做这样的事。	I can't bring myself to do such a thing.
332686	把你的自行车放好。	Put away your bicycle.
332688	我们去了林中散步。	We went for a walk in the forest.
332690	孩子们应该每天喝牛奶。	Children should drink milk every day.
332692	简而言之，我不同意。	To put it briefly, I do not agree.
332693	但是他不常微笑。	But he did not often smile.
332694	要去博物馆，你就得乘那辆车。	You have to get on that bus to go to the museum.
332695	除非雨停了，我们才会出去。	We won't go out unless it stops raining.
332698	他试图游过河，但是失败了。	He failed in his attempt to swim across the river.
332699	告诉我你对湘南做了什么。	Tell me what you did to Shounan.
332700	我已经受够了这个计划。	I've had enough of this program.
332701	他不再是以前那个他。	He isn't himself anymore.
332702	我发现他在花园里干活。	I found him working in the garden.
332703	毕加索是个有名的艺术家。	Picasso is a famous artist.
332705	这是一个例外。	This is an exception to the rule.
332706	他说他饿了。	He said that he was hungry.
332708	生活很困难，但我更坚强。	Life is hard, but I am harder.
332709	这个班有多少男生？	How many boys are there in this class?
332710	这一消息证实了我的怀疑。	The news confirmed my suspicions.
332711	看那座被雪覆盖的山。	Look at that mountain which is covered with snow.
332712	她没有任何亲戚朋友照顾她。	She doesn't have any friends or relatives to take care of her.
332715	你的妈妈会开车吗？	Can your mother drive a car?
332717	我们也去了庙里。	We also went to the temple.
332718	我想要去伦敦。	I'd like to go to London.
332719	你其实没必要带伞。	You needn't have taken an umbrella with you.
332722	他大半生都住在国外。	He lived abroad for much of his life.
332723	情况一天比一天差。	The situation is getting worse and worse day by day.
332725	你们对外语感兴趣吗？	Are you interested in foreign languages?
332726	没有人跑在他前面。	No one ran ahead of him.
332728	你相信上帝吗？	Do you believe in God?
332730	我们终于登上了富士山山顶。	We gained the top of Mt. Fuji at last.
332731	他们午饭吃了三明治。	They ate sandwiches for lunch.
332733	你觉得她最想要什么纪念品？	What souvenir do you think she would like most?
332734	做你想做的。	Do whatever you want.
332735	这些食物看起来很好吃。	The food looks very delicious.
332736	她的故事带我回到了童年。	Her story took me back to my childhood.
332738	我有一个大家庭。	I have a large family.
332739	明早九点给我打电话。	Call me at nine tomorrow morning.
332741	这不是我的包。	This isn't my bag.
332742	我错拿了你的雨伞。	I took your umbrella by mistake.
332744	开车真的非常简单。	Driving a car is really very simple.
332746	会议室正在使用中。	The meeting room is occupied at the moment.
332747	检查一下！	Check that.
332748	他尝了芝士蛋糕。	He tried a cheesecake.
332749	她无法直视我的脸。	She couldn't look me straight in the face.
332751	我对摄影感兴趣。	I have an interest in photography.
332752	我买了一盏古老的灯。	I bought an ancient lamp.
332753	你可以坐船去那。	You can go there in a boat.
332754	说和做是两码事。	Saying is quite different from doing.
332757	他不蠢。	He is not stupid.
332759	他们生活得很幸福。	They lived a happy life.
332760	她有很多事要做。	She has a lot of things to do.
332762	我直视他的眼睛。	I looked him in the eyes.
332764	这个诗人兼学者死了。	The poet and scholar is dead.
332765	他简单地阐述了他的理由。	He gave his reasons in brief.
332766	你还需要茶吗？	Do you still need tea?
332768	我们去滑雪怎么样？	What do you say we go skiing?
332770	他在森林中迷了路。	He lost his way in the woods.
332773	他告诉了我们许多经验教训。	He told us many lessons.
332774	这房子里似乎在办派对。	There appears to be a party in that house.
332775	我会教你怎么开车。	I'll teach you how to drive a car.
332777	我们必须保持家庭传统。	We must keep up the family traditions.
332778	他能游得很快。	He can swim very fast.
332780	我厌倦了我的工作。	I am tired of my work.
332781	你们周日送货吗？	Do you deliver on Sundays?
332782	我想再来一杯啤酒。	I feel like another beer.
332783	他可能迷路了。	He may have lost his way.
332784	他出卖了我。	He sold me down the river.
332785	天冷得足以让湖结冰。	The weather was so cold that the lake froze over.
332786	我不知道，也不想知道。	I don't know, nor do I care.
332787	去年她离开了日本。	She was out of Japan last year.
332789	今晚我将在朋友家过夜。	I will put up at my friend's tonight.
332790	我需要购买新的镜架。	I need to buy new spectacle frames.
332791	我弟弟手里拿着一个摄像机。	My brother is holding a camera in his hand.
332792	我们在这里下车吧。	Let's get off here.
332795	你会发现难以满足她。	You'll find it difficult to meet her requirements.
332796	除非我死了！	Over my dead body.
332797	我尊敬长辈。	I respect elderly people.
332798	有什么比失明更不幸的呢？	What greater misfortune is there than to go blind?
332799	他们的合同在这个月底到期。	Their contract is to run out at the end of this month.
332800	帮我一下。	Help me.
332801	爱都是嫉妒的。	There's no love without jealousy.
332803	让我看看那些照片。	Let me have a look at those photos.
332804	厕所冲水不正常。	The toilet doesn't flush properly.
332807	我们必须考虑到他很年轻。	We must take into account the fact that he is young.
332808	她一到，我们就开始。	As soon as she comes, we will begin.
332809	我挑不出他的毛病。	I can't find fault with him.
332812	你有义务还债。	You are liable for the debt.
332813	她没有辜负我们的期望。	She lived up to our expectations.
332814	停车场是免费的。	The parking lot is free of charge.
332815	他父母对他期望过高。	His parents expect too much of him.
332817	她戴上了她的帽子。	She put on her hat.
332819	我想看看。	I want to have a little look.
332820	你在听我说吗？	Do you hear what I'm saying?
332824	这被认为是一件大事。	This is considered to be a matter of great importance.
332825	如果你快一点，还能赶上他。	If you hurry, you will catch up with him.
332828	她原谅了男孩的粗鲁。	She forgave the boy for his rudeness.
332829	病人随时会死。	That patient may die at any time.
332831	一个人要为他的行为负责。	A man is responsible for his deeds.
332832	你会代替我去派对吗？	Will you go to the party instead of me?
332834	这是找零。	Here's the change.
332837	我通常在晚上洗澡。	I usually take a shower in the evening.
332838	这对他没有影响。	It has had no effect on him.
332839	他每天去学校学习。	He goes to school to study every day.
332840	妈妈为我准备了午饭。	Mother prepared lunch for me.
332841	你能再给我点茶吗？	Would you please give me some more tea?
332842	一些人通过阅读来放松。	Some people relax by reading.
332845	我厌倦了他的老笑话。	I was bored with his old jokes.
332846	她的眼里涌出了泪水。	Her eyes gushed with tears.
332847	公园里有很多人。	There are many people in the park.
332849	你更喜欢哪个，这个还是那个？	Which do you like better, this or that?
332850	我小时候常常独自玩耍。	I used to play alone when I was a child.
332851	这是去牛津大学的车吗？	Is this the bus to Oxford?
332852	我们将于下周日结婚。	We are to be married next Sunday.
332853	你觉得这件毛衣怎么样？	What do you think of this sweater?
332854	小丑做了个鬼脸。	The clown made a funny face.
332858	我赚钱养家。	I sustain my family.
332859	在这儿等到他回来为止。	Wait here till he comes back.
332860	你不应该在学校大楼里奔跑。	You must not run in the school buildings.
332861	我们国家不缺石油。	We are not short of oil in this country.
332862	他被选为市长。	He was elected mayor.
332863	这男人和他妻子互相帮助。	The man and his wife helped each other.
332864	爸爸今天很不耐烦。	Dad's in an impatient mood today.
332865	那个学生跑得很快，不是吗？	That student runs fast, doesn't he?
332866	你是我的阳光。	You are my sunshine.
332867	这音乐值得听许多次。	That music is worth listening to many times.
332868	听到这个让我感觉热血沸腾。	It made my blood boil to hear that.
332869	许多人在工业城市工作。	Many people work in industrial towns.
332870	严重吗？	Is it serious?
332871	物价上涨了。	Prices are going up.
332872	那栋灰色的大楼吗？	That gray building?
332873	这首歌让我想家了。	The song reminds me of my home.
332874	你该戒烟戒酒了。	You should give up smoking and drinking.
332877	我不会说法语，也不会说德语。	I can't speak French or German.
332878	我们按例处罚了他。	We punished him according to the rules.
332879	老实说，我不喜欢他。	To tell the truth, I don't like him.
332880	要掌握法语一点都不容易。	It's not easy to master French at all.
332881	我的房间号是多少？	What is my room number?
332884	过河拆桥。	Danger past, God forgotten.
332885	油墨快没了。	Printing ink is in short supply.
332886	老人坐了下来。	The old man sat down.
332887	他出国留学了。	He studied abroad.
332889	我用两千日元买了这本书。	I paid two thousand yen for the book.
332890	这部电影为她赢得了人气。	The movie gained her great popularity.
332891	她给客人看了她的宝宝。	She showed the visitor her baby.
332892	他很快就会回来的。	He will be back soon.
332893	这只是偶发事件。	That only happens occasionally.
332894	他进来的同时，铃响了。	He came in, and at the same time the bell rang.
332895	据说他爸爸在外国去世了。	It is said that his father died in a foreign country.
332897	我没见过也没听过这样的事。	I have neither seen nor heard of such a thing.
332898	你支持还是反对堕胎？	Are you for or against abortion?
332900	你的学校在这个城市吗？	Is your school in this town?
332901	最后她没有来。	After all she did not come.
332902	你叔叔让你开他的车了吗？	Did your uncle let you drive his car?
332903	昨晚我邻居家着火了。	A fire broke out in my neighborhood last night.
332904	你的提议值得考虑。	Your proposal is worthy of being considered.
332905	她现在正待在她叔叔家。	She is now staying at her uncle's house.
332906	你对女人有一套。	You have a way with women.
332907	我身负一个重要的任务。	I am charged with an important mission.
332908	着火了！快跑啊！	Fire! Run!
332909	好习惯是从小养成的。	Good habits should be cultivated in childhood.
332910	我们偶然碰到了她。	We met her by accident.
332911	祝你旅途愉快。	I wish you a pleasant voyage.
332912	我开门的时候弄坏了锁。	In opening the door, I broke the lock.
332914	她是什么时候出生的？	When was she born?
332916	我胃痛。	My stomach hurts.
332920	因为我想成为翻译。	Because I want to be a translator.
332921	乡间有很多树。	There are lots of trees in the countryside.
332922	道路结冰导致了很多起事故。	Many accidents resulted from the icy conditions of the road.
332923	迟做总比不做好。	Better late than never.
332924	你乘飞机还是乘火车去？	Are you going by air or by train?
332926	这里允许拍照吗？	Are we allowed to take pictures here?
332927	他是非不分。	He has no sense of right and wrong.
332929	奈良是个非常古老的城市。	Nara is a very old city.
332931	她认为计划很好，但不可行。	She thought the plan was fine but impractical.
332932	我们为表演者鼓掌。	We gave the performer a round of applause.
332933	我在找关于古罗马历史的书。	I'm looking for books on Roman history.
332934	我没朋友帮我。	I have no friends to help me.
332935	我不想等那么久。	I don't want to wait that long.
332936	他的忠告总是很明智。	His advice is always very sensible.
332938	这是这个诗人出生的村子。	This is the village where the poet was born.
332939	让窗子关着。	Keep the window closed.
332940	他的故事一部分是真的。	Part of his story is true.
332941	他是美国人。	He is an American.
332942	史密斯夫妇现在分居了。	Mr. and Mrs. Smith live apart from each other now.
332943	我们吃面包夹黄油。	We eat butter on bread.
332944	她不会乘飞机因为害怕坠机。	She won't take an airplane for fear of a crash.
332946	他受邀做俱乐部的主席。	He was invited to be the chairman of the club.
332947	知足常乐。	Happy is the man who is contented.
332948	今晚你可以在他家联络到他。	You can get in touch with him at his home tonight.
332949	你工作太努力了。	You work too hard.
332950	得不到的东西就最想得到。	It is the things that we do not possess which seem to us most desirable.
332952	这个月底前，我们必须交报告。	We have to turn in our reports by the end of this month.
332953	他这个时候该到了。	This is the time he normally arrives.
332955	很难说明天的天气将会怎样。	It's hard to say what the weather will be like tomorrow.
332957	他丢了块肉给一条狗。	He threw a piece of meat to a dog.
332958	我会给你开个药方。	I'll give you a prescription.
332959	不要探听别人的事。	Don't pry into the affairs of others.
332960	纽约市的人口有多少？	How large is the population of New York City?
332961	天知道他去哪儿了。	Who knows where he has gone.
332962	她在一棵树下坐着。	She was sitting under a tree.
332966	她很想要一条新的连衣裙。	She wants a new dress badly.
332967	日本人放弃了战争。	The Japanese people have renounced war.
332970	他弟弟是个有名的足球选手。	His little brother is a famous soccer player.
332971	铃响了。	The bell rang.
332973	她的悲伤无法言喻。	No words can express her deep sorrow.
332979	我能问一些问题吗？	May I ask a few questions?
332980	我期待很快就能收到你的信。	I am looking forward to hearing from you soon.
332981	他在澳大利亚长大。	He was brought up in Australia.
332982	我弟弟没我两年前高。	My brother is not as tall as I was two years ago.
332983	他一直很担心他的女儿。	He's always worrying about his daughter.
332985	他的化学很差。	He is poor at chemistry.
332986	教堂位于山脚。	The church is at the foot of a mountain.
332988	我很钦佩他的才干。	I feel admiration for his talent.
332989	我猜想你可能是对的。	You could be right, I suppose.
332990	老师不可能说过这样的事。	The teacher cannot have said such a thing.
332991	失之毫厘，谬之千里。	Slight inattention can cause a great disaster.
332993	今天我头痛欲裂。	I have a bad headache today.
332994	退休后他的收入少了一半。	His income was diminished by half after retirement.
332995	她答应几时见他？	When did she promise to meet him?
332996	我对你的厚颜无耻感到惊讶。	I am amazed at your audacity.
332997	她太放任她的孩子们了。	She lets her children have their own way too much.
332999	年轻人应该尊敬老人。	The young should respect the old.
333000	他不打算买一个摄像机。	He isn't going to buy a camera.
333002	他们的旅行因为火车延期了。	Their journey was delayed because of the train.
333004	她去过巴黎。	She has been to Paris.
333005	我看见书桌上有朵花。	I see a flower on the desk.
333007	我头撞到了门，肿了一块。	I bumped my head against the door and got a lump.
333008	你必须马上开始。	You'll have to start at once.
333010	我们在下个加油站停一下。	Let's stop at the next gas station.
333012	你做了什么？	What did you make?
333013	舞台上有著名音乐家吗？	Are there any famous musicians on the stage?
333014	请你把冷气调高点。	Please turn up the AC a little bit.
333015	这不是我喜欢的类型。	This is not my type.
333016	我觉得你的工作可以。	I think your work is all right.
333023	开门的时候我把锁弄坏了。	I broke the lock opening the door.
333024	她什么时候生的？	When was she born?
333026	我胃疼。	My stomach hurts.
333030	火车因大雪被耽搁了。	The train was delayed because of heavy snowfall.
333031	这只梨闻上去很香。	This pear smells nice.
333037	他们坚持让他走。	They insist that he should go.
333038	我一直忙于写一部短篇小说。	I have been busy writing a short story.
333039	我的工作是洗碗。	My job is to wash dishes.
333040	我想坐在无烟区。	I would like to sit in the non-smoking section.
333042	这辆车保养起来很贵。	It is expensive running this car.
333051	让我试试。	Let me try it.
333068	欢迎回家。	Welcome home.
333071	这是湖的最深处。	The lake is deepest at this point.
333078	那个穿棕色大衣的女人是谁？	Who is the woman in the brown coat?
333084	我们同意了第二天一早开始。	We agreed to start early the next morning.
333097	树上有些苹果，不是吗？	There are a few apples on the tree, aren't there?
333098	你想要什么？	What do you want?
333101	他是营销部的负责人。	He is the manager of the marketing department.
333102	没有水，我们无法生存。	Without water, we cannot exist.
333103	我希望如此。	I hope so.
333106	天日渐回暖。	It's getting warmer day by day.
333107	现在他应该已经到了。	He should have arrived by now.
333108	我们很高兴今晚能见到大家。	We take great pleasure in meeting all of you this evening.
333110	这是我们的荣幸。	It's our pleasure.
333111	我登上去伦敦的火车。	I got on the train for London.
333113	我妹妹每周上两次钢琴课。	My sister takes piano lessons twice a week.
333114	所有苹果树都被砍倒了。	All the apple trees were cut down.
333115	他把头发剪短了。	He had his hair cut short.
333116	面对巨大的困难，他成功了。	He succeeded in the face of great difficulties.
333117	你已经见过史密斯先生了吗？	Have you already met Mr Smith?
333119	他和班上其他男生一样聪明。	He is as smart as any other boy in the class.
333121	我们尽情在湖里游泳。	We enjoyed swimming in the lake.
333122	我不同意你的看法。	I don't agree with you.
333123	种瓜得瓜，种豆得豆。	As a man sows, so he shall reap.
333125	大好的前途摆在他面前。	A brilliant future lay before him.
333126	这个房间里有个电视机。	There is a television in this room.
333127	今天天气很好。	It's fine today.
333140	没人知道那机器长什么样子。	Nobody knew what the machine was like.
333142	你能猜到我有什么吗？	Can you guess what I have here?
333143	你的笔比我的好。	Your pen is better than mine.
333145	把你的名字用大写写下来。	Write your name in capitals.
333146	花园被木栅栏围了起来。	The garden was surrounded by a wooden fence.
333147	这将是你最后一次被欺骗了。	This will be the last time you're deceived.
333149	过去我们每个周末都去溜冰。	We used to go skating every weekend.
333150	我家附近有个漂亮的公园。	There is a beautiful park near my home.
333152	字典上写的不总是对的。	What a dictionary says is not always right.
333154	我以前从没见过她。	Never have I seen her before.
333155	澳洲比南美洲小。	Australia is smaller than South America.
333157	如果我是你，我也会这么做。	Were I in your place I would do the same thing.
333158	晚上好。	Good evening.
333160	这条连衣裙很便宜。	This dress is a good bargain.
333161	她教我如何游泳。	She taught me how to swim.
333168	为什么你昨晚睡不着？	Why couldn't you sleep last night?
333169	他善用他的天赋。	He makes good use of his talents.
333171	许多工人死于饥饿。	Many of the workers died of hunger.
333172	她非常周到和耐心。	She is very thoughtful and patient.
333179	你是我的一切。	You are everything to me.
333181	她邀请我们去她的生日派对。	She invited us to her birthday party.
333182	她忙着编织。	She was busy with her knitting.
333184	他很难写他的名字。	He can scarcely write his name.
333186	我妹妹嫁给了一个医生。	My sister married a doctor.
333189	不要往我房间里看。	Don't look into my room.
333190	他们说她是在德国出生的。	They say that she was born in Germany.
333191	你累了，不是吗？	You are tired, aren't you?
333193	她一整晚都在哭。	She kept crying all night long.
333194	他半夜打了个电话给我。	He gave me a ring at midnight.
333195	他的性情古怪。	He's a strange character.
333197	飞行愉快！	Have a nice flight.
333198	学校因大雪停课一天。	School was closed for the day due to the snow.
333199	他们有他们自己的文化。	They had a culture of their own.
333200	凡人皆有得意时。	Every dog has his day.
333201	我每时每刻都在为你而活。	I live every moment for you.
333202	他各科全优。	He won the prize for excellence in all subjects.
333204	不要插手我的事。	Don't interfere in my affairs.
333205	我怕你没法跟她结婚。	I'm afraid you can't marry her.
333208	他的兴趣爱好是收集旧邮票。	His hobby is collecting old stamps.
333209	他刚离开家。	He has just left home.
333210	再试也无济于事了。	There's no point in trying again.
333211	派对延期了一周。	The party was put off for a week.
333212	水沸腾后变为蒸汽。	Water turns into steam when it is boiled.
